1,abb,dec_2012,roe_pct,de_ratio,fcf,0,unnamed:_7,1.8225,42,59,revenue_cagr_5yr,pe_ratio,pb_ratio,dividend_yield,market_cap_cr
166,AXISBANK,Mar 2017,8.260000000000002,-5715.0,6.529999999999999,9.355,2.0353,0.0728,19751.0,12458.0,15.0,11.7704,33.0,527437,32209.0
167,AXISBANK,Mar 2018,0.6,-10277.0,0.43,9.5227,2.6327,0.0651,-48397.0,10007.0,1.0,12.516,0.0,611425,-38390.0
168,AXISBANK,Mar 2019,8.51,-5447.0,6.9,10.5011,2.0674,0.0675,18451.0,18674.0,18.0,13.1911,6.0,711996,37125.0
169,AXISBANK,Mar 2020,2.6,-9859.0,1.88,9.2349,2.2559,0.0675,20931.0,9485.0,6.0,15.3085,0.0,797337,30416.0
170,AXISBANK,Mar 2021,10.4,-2510.0,6.36,8.2104,2.5885,0.0633,-41655.0,54288.0,22.0,16.8995,0.0,850551,12633.0
211,BANKBARODA,Mar 2016,-10.99,-11700.0,-11.84,14.5998,4.2331,0.0663,-14016.0,4005.0,-22.0,9.1998,0.0,620536,-10011.0
212,BANKBARODA,Mar 2017,4.17,-4372.0,4.31,15.0579,2.4241,0.0618,17314.0,551.0,8.0,9.3219,15.0,648499,17865.0
213,BANKBARODA,Mar 2018,-3.99,-9197.0,-3.94,14.4378,3.2624,0.0616,-60106.0,414.0,-7.0,8.786,0.0,672311,-59692.0
214,BANKBARODA,Mar 2019,2.2,-5414.0,2.12,13.3547,3.2718,0.0645,-3986.0,2537.0,4.0,10.3766,0.0,734456,-1449.0
215,BANKBARODA,Mar 2020,1.24,-11728.0,1.29,14.0463,3.3277,0.0657,18392.0,139.0,2.0,8.2275,0.0,1068981,18531.0
216,BANKBARODA,Mar 2021,2.18,-6957.0,1.97,12.9527,2.5915,0.0618,-1358.0,471.0,3.0,7.9527,0.0,1067173,-887.0
217,BANKBARODA,Mar 2022,10.81,-2948.0,8.64,12.9024,2.606,0.0548,2565.0,3645.0,15.0,8.8677,19.0,1185331,6210.0
247,BHEL,Mar 2016,-2.77,-5.0,-2.18,0.0065,0.375,0.3889,397.0,23.0,-2.0,6.5949,-14.0,211,374.0
251,BHEL,Mar 2020,-6.84,-1.0,-5.12,0.1773,0.7455,0.356,-1015.0,1877.0,-4.0,4.1178,0.0,5080,-2892.0
252,BHEL,Mar 2021,-15.6,-18.0,-10.39,0.1905,-5.6874,0.3093,518.0,42.0,-8.0,3.7332,0.0,4951,560.0
293,CANBK,Mar 2014,6.75,-672.0,8.85,14.8434,2.3248,0.079,13864.0,380.0,10.0,6.5458,19.0,447913,14244.0
294,CANBK,Mar 2015,6.69,-621.0,9.02,15.3726,2.1764,0.0784,5240.0,1104.0,11.0,6.8404,17.0,499488,6344.0
295,CANBK,Mar 2016,-5.76,-8008.0,-7.82,15.6344,3.3739,0.0781,8903.0,443.0,-9.0,5.9687,0.0,506712,9346.0
296,CANBK,Mar 2017,3.4,-5775.0,4.07,15.4204,1.9966,0.0695,2099.0,476.0,5.0,5.8099,4.0,534858,2575.0
297,CANBK,Mar 2018,-9.370000000000001,-13350.0,-10.5,15.2792,3.4536,0.0655,-11607.0,487.0,-11.0,5.0337,0.0,563756,-11120.0
298,CANBK,Mar 2019,1.45,-11590.0,1.85,16.9855,2.7433,0.0674,17492.0,745.0,2.0,5.0052,0.0,640166,18237.0
299,CANBK,Mar 2020,-3.86,-12867.0,-4.66,16.2154,2.2699,0.0671,-5734.0,445.0,-4.0,4.0006,0.0,668170,-5289.0
300,CANBK,Mar 2021,4.21,-18367.0,4.74,17.0004,1.8804,0.0596,58002.0,1116.0,4.0,3.7893,0.0,1060998,59118.0
301,CANBK,Mar 2022,8.72,-13657.0,8.799999999999999,16.1894,1.7433,0.0561,-510.0,1429.0,7.0,3.8567,19.0,1132626,919.0
302,CANBK,Mar 2023,13.21,-9877.0,14.53,15.8501,1.6885,0.0622,-41134.0,1156.0,12.0,4.3029,19.0,1237160,-39978.0
303,CANBK,Mar 2024,13.94,-7745.0,16.72,14.8674,1.6107,0.072,13296.0,1750.0,17.0,5.079,19.0,1369780,15046.0
490,HDFCBANK,Mar 2024,23.07,-44685.0,14.34,6.8088,1.4008,0.0704,35669.0,16600.0,84.0,60.0521,23.0,3107503,19069.0
538,ICICIBANK,Mar 2013,22.57,-15085.0,14.73,7.0919,1.0795,0.0665,-1069.0,18563.0,15.0,5.9587,24.0,487659,17494.0
539,ICICIBANK,Mar 2014,23.6,-13084.0,15.28,7.1053,1.0911,0.0662,-8985.0,15750.0,17.0,6.6173,24.0,543055,6765.0
540,ICICIBANK,Mar 2015,23.55,-16120.0,15.28,7.0504,1.0989,0.0665,-25448.0,13175.0,19.0,7.3022,24.0,597207,-12273.0
541,ICICIBANK,Mar 2016,18.43,-26955.0,11.61,7.1347,1.24,0.0645,11585.0,12060.0,16.0,8.0921,29.0,671455,23645.0
542,ICICIBANK,Mar 2017,18.61,-37737.0,10.84,6.6985,1.2158,0.0618,50925.0,1711.0,16.0,8.9813,14.0,700874,52636.0
543,ICICIBANK,Mar 2018,14.64,-44906.0,8.23,7.3687,1.2804,0.0553,-31168.0,50551.0,12.0,8.6026,12.0,815198,19383.0
544,ICICIBANK,Mar 2019,7.9,-50971.0,4.98,7.8041,1.4109,0.0581,18389.0,30282.0,7.0,8.8637,15.0,891641,48671.0
