1,abb,dec_2012,roe_pct,de_ratio,fcf,0,unnamed:_7,1.8225,42,59,revenue_cagr_5yr,pe_ratio,pb_ratio,dividend_yield,market_cap_cr
25,ADANIENSOL,Mar 2015,-5.34,78.0,-0.65,8.9575,1.4247,0.0114,-1899.0,1864.0,0.0,0.0994,0.0,9701,-35.0
26,ADANIENSOL,Mar 2016,16.77,88.0,13.77,3.2129,2.0867,0.1868,728.0,816.0,3.0,0.2429,0.0,8585,1544.0
27,ADANIENSOL,Mar 2017,14.46,69.0,14.12,3.0455,2.2179,0.2245,459.0,1730.0,4.0,0.2679,0.0,8975,2189.0
28,ADANIENSOL,Mar 2018,28.98,72.0,18.87,1.7216,3.3149,0.2284,-994.0,3192.0,10.0,0.5506,0.0,10428,2198.0
29,ADANIENSOL,Mar 2019,7.649999999999999,38.0,6.950000000000001,2.5037,2.2387,0.2244,-459.0,3050.0,5.0,0.7312,0.0,20137,2591.0
30,ADANIENSOL,Mar 2020,6.18,37.0,8.309999999999999,2.8528,2.0192,0.2875,-206.0,5643.0,7.0,0.7726,0.0,24246,5437.0
31,ADANIENSOL,Mar 2021,13.0,40.0,14.46,3.0379,2.3925,0.2296,-225.0,4009.0,11.0,0.8108,0.0,27095,3784.0
32,ADANIENSOL,Mar 2022,10.98,37.0,12.47,3.0164,2.3222,0.2372,161.0,3936.0,11.0,0.9012,0.0,29902,4097.0
33,ADANIENSOL,Mar 2023,9.64,34.0,10.9,2.9168,2.1938,0.2465,-922.0,4699.0,11.0,1.0537,0.0,34270,3777.0
34,ADANIENSOL,Mar 2024,7.199999999999999,30.0,9.46,2.9325,2.2848,0.2837,1095.0,4943.0,10.0,1.1337,0.0,37070,6038.0
47,ADANIGREEN,Mar 2017,-9.36,80.0,-3.91,3.6135,1.4461,0.0815,-1483.0,1511.0,0.0,0.0944,0.0,4347,28.0
48,ADANIGREEN,Mar 2018,-9.32,57.0,-10.29,7.3557,1.6033,0.0942,-3779.0,4428.0,-1.0,0.0857,0.0,9864,649.0
49,ADANIGREEN,Mar 2019,-23.08,74.0,-24.57,5.7641,1.4264,0.1404,-1041.0,2666.0,-3.0,0.1236,0.0,11142,1625.0
50,ADANIGREEN,Mar 2020,-2.67,57.0,-2.89,6.3072,1.3457,0.1384,-1778.0,3743.0,0.0,0.1507,0.0,14866,1965.0
51,ADANIGREEN,Mar 2021,5.83,72.0,8.27,11.0041,1.3477,0.1089,-7536.0,9137.0,1.0,0.1407,0.0,24209,1601.0
52,ADANIGREEN,Mar 2022,9.53,68.0,18.71,20.2112,1.5357,0.0871,-15603.0,18730.0,3.0,0.1671,0.0,52832,3127.0
53,ADANIGREEN,Mar 2023,12.51,64.0,13.32,7.4237,1.9364,0.1162,3408.0,3857.0,6.0,0.4611,0.0,54223,7265.0
54,ADANIGREEN,Mar 2024,13.67,79.0,12.81,6.5953,1.7139,0.1047,-13347.0,21060.0,7.0,0.6208,0.0,64858,7713.0
61,ADANIPORTS,Mar 2019,37.03,60.0,16.6,1.137,5.6931,0.194,1661.0,4368.0,19.0,5.887,1.0,27712,6029.0
73,ADANIPORTS,Mar 2019,37.03,60.0,16.6,1.137,5.6931,0.194,1661.0,4368.0,19.0,5.887,1.0,27712,6029.0
79,ADANIPOWER,Mar 2013,-34.29,14.0,-53.45999999999999,9.7356,0.69,0.1224,-1063.0,4064.0,-10.0,0.1794,0.0,41795,3001.0
80,ADANIPOWER,Mar 2014,-1.9,30.0,-4.45,6.7477,1.1365,0.261,-1462.0,4700.0,-1.0,0.2278,0.0,44150,3238.0
81,ADANIPOWER,Mar 2015,-4.37,25.0,-14.25,7.8152,1.206,0.3195,1087.0,4737.0,-3.0,0.1993,0.0,44742,5824.0
82,ADANIPOWER,Mar 2016,2.17,35.0,7.380000000000001,7.0607,1.5469,0.3348,2565.0,2692.0,2.0,0.224,0.0,52729,5257.0
83,ADANIPOWER,Mar 2017,-27.3,26.0,-205.8,17.4947,0.3921,0.3163,3513.0,1212.0,-16.0,0.0778,0.0,52484,4725.0
84,ADANIPOWER,Mar 2018,-10.36,27.0,-236.56,59.4319,1.1113,0.292,4581.0,520.0,-5.0,0.023,0.0,52835,5101.0
85,ADANIPOWER,Mar 2019,-4.12,21.0,-12.76,6.0918,1.3136,0.3513,4626.0,984.0,-3.0,0.1999,0.0,46980,5610.0
86,ADANIPOWER,Mar 2020,-8.6,22.0,-35.09999999999999,8.517,1.1396,0.3528,3294.0,2304.0,-6.0,0.168,0.0,55199,5598.0
87,ADANIPOWER,Mar 2021,4.84,33.0,9.69,4.0051,2.0754,0.3327,4826.0,2188.0,3.0,0.34,0.0,52519,7014.0
88,ADANIPOWER,Mar 2022,17.73,36.0,26.61,2.6627,3.3673,0.338,11007.0,774.0,13.0,0.4785,0.0,49145,10233.0
89,ADANIPOWER,Mar 2023,27.67,26.0,35.91,1.4175,4.2927,0.4518,9976.0,1545.0,28.0,0.7746,0.0,42350,8431.0
90,ADANIPOWER,Mar 2024,41.37,36.0,48.28,0.8023,8.2972,0.5472,17651.0,3481.0,54.0,1.1186,0.0,34616,14170.0
167,AXISBANK,Mar 2018,0.6,-10277.0,0.43,9.5227,2.6327,0.0651,-48397.0,10007.0,1.0,12.516,0.0,611425,-38390.0
169,AXISBANK,Mar 2020,2.6,-9859.0,1.88,9.2349,2.2559,0.0675,20931.0,9485.0,6.0,15.3085,0.0,797337,30416.0
170,AXISBANK,Mar 2021,10.4,-2510.0,6.36,8.2104,2.5885,0.0633,-41655.0,54288.0,22.0,16.8995,0.0,850551,12633.0
171,AXISBANK,Mar 2022,19.33,3170.0,11.01,8.633,1.9688,0.0563,1025.0,27112.0,42.0,19.2607,2.0,1020943,28137.0
174,BAJAJFINSV,Mar 2013,27.49,49.0,28.38,1.6651,3.2666,0.1232,-3969.0,2953.0,10.0,9.7525,2.0,12991,-6922.0
175,BAJAJFINSV,Mar 2014,36.38,75.0,23.53,2.0948,2.8771,0.081,-6043.0,3764.0,10.0,11.64,2.0,19507,-9807.0
176,BAJAJFINSV,Mar 2015,21.25,49.0,21.72,2.3728,2.4749,0.1285,-7022.0,3709.0,11.0,13.8613,2.0,26312,-10731.0
177,BAJAJFINSV,Mar 2016,13.51,33.0,20.41,2.6518,2.3424,0.1975,-10681.0,886.0,12.0,16.9988,1.0,36062,-9795.0
211,BANKBARODA,Mar 2016,-10.99,-11700.0,-11.84,14.5998,4.2331,0.0663,-14016.0,4005.0,-22.0,9.1998,0.0,620536,-10011.0
213,BANKBARODA,Mar 2018,-3.99,-9197.0,-3.94,14.4378,3.2624,0.0616,-60106.0,414.0,-7.0,8.786,0.0,672311,-59692.0
214,BANKBARODA,Mar 2019,2.2,-5414.0,2.12,13.3547,3.2718,0.0645,-3986.0,2537.0,4.0,10.3766,0.0,734456,-1449.0
215,BANKBARODA,Mar 2020,1.24,-11728.0,1.29,14.0463,3.3277,0.0657,18392.0,139.0,2.0,8.2275,0.0,1068981,18531.0
216,BANKBARODA,Mar 2021,2.18,-6957.0,1.97,12.9527,2.5915,0.0618,-1358.0,471.0,3.0,7.9527,0.0,1067173,-887.0
227,BHARTIARTL,Mar 2020,-35.03,42.0,-39.75,1.9214,-0.0833,0.2438,-11469.0,29598.0,-55.0,2.8279,-3.0,148228,18129.0
228,BHARTIARTL,Mar 2021,-12.29,45.0,-20.97,2.7613,2.7211,0.2921,20919.0,27286.0,-26.0,2.1469,0.0,162785,48205.0
247,BHEL,Mar 2016,-2.77,-5.0,-2.18,0.0065,0.375,0.3889,397.0,23.0,-2.0,6.5949,-14.0,211,374.0
251,BHEL,Mar 2020,-6.84,-1.0,-5.12,0.1773,0.7455,0.356,-1015.0,1877.0,-4.0,4.1178,0.0,5080,-2892.0
252,BHEL,Mar 2021,-15.6,-18.0,-10.39,0.1905,-5.6874,0.3093,518.0,42.0,-8.0,3.7332,0.0,4951,560.0
295,CANBK,Mar 2016,-5.76,-8008.0,-7.82,15.6344,3.3739,0.0781,8903.0,443.0,-9.0,5.9687,0.0,506712,9346.0
297,CANBK,Mar 2018,-9.370000000000001,-13350.0,-10.5,15.2792,3.4536,0.0655,-11607.0,487.0,-11.0,5.0337,0.0,563756,-11120.0
298,CANBK,Mar 2019,1.45,-11590.0,1.85,16.9855,2.7433,0.0674,17492.0,745.0,2.0,5.0052,0.0,640166,18237.0
299,CANBK,Mar 2020,-3.86,-12867.0,-4.66,16.2154,2.2699,0.0671,-5734.0,445.0,-4.0,4.0006,0.0,668170,-5289.0
300,CANBK,Mar 2021,4.21,-18367.0,4.74,17.0004,1.8804,0.0596,58002.0,1116.0,4.0,3.7893,0.0,1060998,59118.0
371,DLF,Mar 2020,-9.700000000000001,19.0,-1.71,0.2352,1.5985,0.1088,6864.0,6508.0,-2.0,6.959,-85.0,8103,356.0
376,DMART,Mar 2013,2.81,6.0,11.91,0.6667,5.3488,2.2393,-104.0,231.0,2.0,0.145,0.0,526,127.0
377,DMART,Mar 2014,3.44,7.0,16.84,0.6705,6.375,2.5918,-72.0,270.0,3.0,0.1748,0.0,641,198.0
378,DMART,Mar 2015,3.29,7.0,17.67,0.7533,6.6111,2.7342,-252.0,474.0,4.0,0.2135,0.0,904,222.0
379,DMART,Mar 2016,3.73,8.0,21.04,0.7837,7.4835,2.7672,-200.0,633.0,6.0,0.2706,0.0,1192,433.0
380,DMART,Mar 2017,4.03,8.0,12.47,0.3896,8.1721,2.0447,-2027.0,2482.0,8.0,0.6157,0.0,1497,455.0
381,DMART,Mar 2018,5.36,9.0,17.26,0.094,24.0167,2.6617,1194.0,464.0,13.0,0.7482,0.0,439,730.0
382,DMART,Mar 2019,4.51,8.0,16.14,0.1253,35.766,2.8554,-151.0,958.0,14.0,0.8954,0.0,700,807.0
383,DMART,Mar 2020,5.23,9.0,11.74,0.0301,31.7101,2.0595,-3377.0,4657.0,20.0,1.7099,0.0,333,1280.0
384,DMART,Mar 2021,4.55,7.0,9.02,0.0323,46.1667,1.7681,265.0,1110.0,17.0,1.8802,0.0,393,1375.0
385,DMART,Mar 2022,4.82,8.0,10.91,0.0473,48.4444,2.0022,83.0,1289.0,23.0,2.1108,0.0,647,1372.0
386,DMART,Mar 2023,5.55,8.0,14.79,0.04,56.2239,2.3662,317.0,2313.0,37.0,2.4812,0.0,643,2630.0
387,DMART,Mar 2024,4.99,8.0,13.56,0.0317,73.2931,2.3989,278.0,2468.0,39.0,2.8722,0.0,592,2746.0
432,GODREJCP,Mar 2021,15.6,22.0,18.23,0.1975,17.5507,0.7743,1738.0,292.0,17.0,9.2539,0.0,1864,2030.0
433,GODREJCP,Mar 2022,14.52,20.0,15.43,0.1475,20.3852,0.7633,607.0,844.0,17.0,11.3294,0.0,1704,1451.0
434,GODREJCP,Mar 2023,12.78,18.0,12.34,0.0819,13.6011,0.7637,397.0,1754.0,17.0,13.5235,0.0,1130,2151.0
517,HINDALCO,Mar 2016,-0.7100000000000001,7778.0,-1.73,1.6635,60.6593,0.6997,8468.0,3220.0,-1.0,19.6179,-82.0,67552,11688.0
545,ICICIBANK,Mar 2020,13.23,-45190.0,9.13,8.2518,1.3134,0.0616,37470.0,42095.0,15.0,9.495,0.0,1014636,79565.0
581,INDUSINDBK,Mar 2020,15.35,-553.0,12.73,7.5718,1.814,0.0937,-11513.0,526.0,64.0,5.001,0.0,262793,-12039.0
605,IOC,Mar 2020,-0.39,3.0,-1.97,1.3605,1.5345,1.4661,-21955.0,29101.0,-1.0,1.0391,-437.0,129790,7146.0
624,IRFC,Mar 2020,23.78,100.0,10.54,7.7355,1.3141,0.0487,-62700.0,1.0,3.0,0.255,0.0,234377,-62701.0
660,JSWENERGY,Mar 2018,1.06,34.0,0.77,1.0696,1.8956,0.3012,3719.0,215.0,0.0,0.6774,0.0,11883,3934.0
670,JSWSTEEL,Mar 2016,-1.16,15.0,-2.54,2.2252,1.2374,0.5072,3040.0,3857.0,-1.0,6.301,-67.0,42204,6897.0
679,KOTAKBANK,Mar 2013,20.65,-1789.0,14.66,5.6043,1.2883,0.0936,-6157.0,9035.0,15.0,4.093,2.0,85561,2878.0
680,KOTAKBANK,Mar 2014,21.08,-1379.0,13.24,4.5031,1.333,0.0981,7938.0,1130.0,16.0,4.9569,2.0,85937,9068.0
681,KOTAKBANK,Mar 2015,23.31,-3366.0,14.01,4.7056,1.189,0.0897,-2165.0,4467.0,20.0,5.7399,2.0,104258,2302.0
683,KOTAKBANK,Mar 2017,22.48,-3965.0,13.04,5.3318,1.2705,0.0808,7933.0,5289.0,27.0,4.1839,2.0,205230,13222.0
684,KOTAKBANK,Mar 2018,24.9,-4141.0,12.4,4.9485,1.2271,0.0744,-15867.0,5475.0,33.0,5.2978,2.0,249840,-10392.0
685,KOTAKBANK,Mar 2019,24.15,-5114.0,12.47,5.0495,1.2225,0.0755,-1501.0,3323.0,38.0,6.0567,2.0,291763,1822.0
686,KOTAKBANK,Mar 2020,25.67,-5005.0,12.9,4.8993,1.3357,0.0755,33551.0,13068.0,45.0,6.9631,0.0,326477,46619.0
687,KOTAKBANK,Mar 2021,30.44,-9958.0,11.85,3.8785,1.2626,0.0685,-6291.0,11172.0,50.0,8.5105,2.0,327110,4881.0
688,KOTAKBANK,Mar 2022,35.83,-8512.0,12.51,3.7837,1.2299,0.0617,-2595.0,10903.0,61.0,9.7445,2.0,365747,8308.0
689,KOTAKBANK,Mar 2023,35.41,-5746.0,13.35,3.7456,1.2878,0.0679,-11623.0,10381.0,75.0,11.2602,2.0,418807,-1242.0
690,KOTAKBANK,Mar 2024,32.39,-13382.0,14.01,4.0037,1.2364,0.0733,6766.0,8919.0,92.0,13.0757,2.0,520374,15685.0
691,LICI,Mar 2019,0.46,1.0,324.32,332.5938,,0.1668,22910.0,9636.0,,0.81,2.0,269401,13274.0
692,LICI,Mar 2020,0.43,-1.0,270.46,252.9082,,0.1794,13952.0,40415.0,,1.002,2.0,253414,54367.0
693,LICI,Mar 2021,0.43,0.0,43.2,0.0006,,0.1804,229049.0,148447.0,7.0,6.884,0.0,4,80602.0
697,LODHA,Mar 2016,8.52,26.0,17.69,3.4823,2.668,0.2663,-467.0,854.0,16.0,3.6787,0.0,13835,387.0
698,LODHA,Mar 2017,7.37,20.0,14.48,4.0126,2.9864,0.2336,295.0,1174.0,13.0,3.569,0.0,16183,1469.0
699,LODHA,Mar 2018,8.21,17.0,15.41,4.3898,5.0436,0.2404,45.0,651.0,10.0,1.301,0.0,22616,696.0
700,LODHA,Mar 2019,13.81,27.0,42.8,6.6756,5.7236,0.2388,-638.0,175.0,21.0,0.9699,0.0,25641,-463.0
701,LODHA,Mar 2020,5.96,15.0,16.3,4.0472,2.7514,0.3058,3954.0,182.0,9.0,1.1495,0.0,18423,3772.0
702,LODHA,Mar 2021,0.88,25.0,1.04,3.9559,1.0942,0.1386,2944.0,420.0,1.0,1.1614,0.0,18193,2524.0
773,NAUKRI,Mar 2020,-18.75,-27.0,-11.21,0.0351,-4.5714,0.4535,447.0,97.0,-19.0,1.7992,-31.0,77,350.0
775,NAUKRI,Mar 2022,810.6999999999999,28.0,74.71,0.0037,1296.0,0.0776,-470.0,1177.0,991.0,13.3659,1.0,64,707.0
776,NAUKRI,Mar 2023,-2.98,15.0,-0.52,0.0081,12.8889,0.1408,154.0,358.0,-8.0,10.386,-228.0,108,512.0
832,PFC,Mar 2019,23.36,33.0,26.82,11.449,0.5163,0.086,-93715.0,13463.0,30.0,1.7849,0.0,539488,-80252.0
865,PNB,Mar 2016,-6.909999999999999,,-163.56,12.1221,,1.7122,12815.0,1352.0,-19.0,1.6898,-2.0,26014,14167.0
866,PNB,Mar 2016,-6.909999999999999,,-163.56,12.1221,,1.7122,12815.0,1352.0,-19.0,1.6898,-2.0,26014,14167.0
867,PNB,Mar 2016,-6.909999999999999,,-163.56,12.1221,,1.7122,12815.0,1352.0,-19.0,1.6898,-2.0,26014,14167.0
868,PNB,Mar 2016,-6.909999999999999,,-163.56,12.1221,,1.7122,12815.0,1352.0,-19.0,1.6898,-2.0,26014,14167.0
869,PNB,Mar 2016,-6.909999999999999,,-163.56,12.1221,,1.7122,12815.0,1352.0,-19.0,1.6898,-2.0,26014,14167.0
870,PNB,Mar 2017,2.58,,22.21,6.3638,,1.1187,22097.0,159.0,6.0,3.3602,0.0,35497,21938.0
871,PNB,Mar 2017,2.58,,22.21,6.3638,,1.1187,22097.0,159.0,6.0,3.3602,0.0,35497,21938.0
872,PNB,Mar 2017,2.58,,22.21,6.3638,,1.1187,22097.0,159.0,6.0,3.3602,0.0,35497,21938.0
873,PNB,Mar 2017,2.58,,22.21,6.3638,,1.1187,22097.0,159.0,6.0,3.3602,0.0,35497,21938.0
874,PNB,Mar 2017,2.58,,22.21,6.3638,,1.1187,22097.0,159.0,6.0,3.3602,0.0,35497,21938.0
875,PNB,Mar 2018,-24.86,,-184.37,8.1865,,0.7732,-1350.0,392.0,-44.0,3.9335,0.0,53777,-1742.0
876,PNB,Mar 2018,-24.86,,-184.37,8.1865,,0.7732,-1350.0,392.0,-44.0,3.9335,0.0,53777,-1742.0
877,PNB,Mar 2018,-24.86,,-184.37,8.1865,,0.7732,-1350.0,392.0,-44.0,3.9335,0.0,53777,-1742.0
878,PNB,Mar 2018,-24.86,,-184.37,8.1865,,0.7732,-1350.0,392.0,-44.0,3.9335,0.0,53777,-1742.0
879,PNB,Mar 2018,-24.86,,-184.37,8.1865,,0.7732,-1350.0,392.0,-44.0,3.9335,0.0,53777,-1742.0
880,PNB,Mar 2019,-18.31,,-128.45,9.665,,0.6227,-34161.0,629.0,-21.0,4.4521,0.0,71859,-33532.0
881,PNB,Mar 2019,-18.31,,-128.45,9.665,,0.6227,-34161.0,629.0,-21.0,4.4521,0.0,71859,-33532.0
882,PNB,Mar 2019,-18.31,,-128.45,9.665,,0.6227,-34161.0,629.0,-21.0,4.4521,0.0,71859,-33532.0
883,PNB,Mar 2019,-18.31,,-128.45,9.665,,0.6227,-34161.0,629.0,-21.0,4.4521,0.0,71859,-33532.0
884,PNB,Mar 2019,-18.31,,-128.45,9.665,,0.6227,-34161.0,629.0,-21.0,4.4521,0.0,71859,-33532.0
885,PNB,Mar 2020,0.88,,6.1,8.5235,,0.6963,-13131.0,338.0,1.0,4.7304,0.0,67736,-12793.0
